Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
5,5.05392E+12,30,28,0,24,13,158,1,1,0,4,94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,7,273,2,131,0,0,0,0,0,41,37,5,14,1,5,0,1,4,0,3,5,0,1519,7,59,14,3,3,0,1,0,0
5,4.46001E+14,49,250,1,28,16,186,3,0,0,1,14,0,4,28,0,0,0,0,2,69,1,0,0,0,4,2,5,5,0,0,0,0,0,41,1,24,8,522,2,0,0,0,0,20,34,8,18,1,4,0,2,3,0,13,9,1,2088,1,5,17,11,1,0,8,4,2
5,3.06001E+14,30,106,1,23,14,165,1,4,0,5,76,0,3,61,1,0,0,0,1,0,0,1,2,0,0,0,3,3,0,0,0,0,0,21,5,208,4,195,0,0,0,1,0,59,16,1,3,0,0,0,1,3,2,7,6,3,1509,5,52,7,1,0,0,1,1,0
5,5.01292E+12,37,69,3,19,12,127,0,0,0,8,187,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,3,0,0,0,0,0,21,5,207,3,136,0,0,1,2,1,55,32,3,12,0,0,1,2,0,0,5,5,5,1479,6,51,12,1,2,0,3,3,0
5,5.19001E+14,34,159,1,42,19,187,0,2,0,5,84,0,1,-1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,7,3,62,2,118,0,0,0,3,3,42,16,6,16,0,0,0,0,3,0,12,8,1,1587,6,68,17,8,3,2,3,1,0
5,5.00862E+12,30,134,2,34,17,200,0,2,0,4,94,0,3,14,0,0,0,0,2,13,0,0,0,0,2,1,2,2,0,0,0,0,0,17,6,197,4,234,0,0,0,2,1,38,40,9,28,2,12,1,1,4,0,12,7,0,1652,5,33,14,5,0,0,5,2,1
5,5.06882E+12,24,0,0,25,16,191,1,0,0,5,213,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,14,7,292,3,163,0,0,0,2,2,36,34,4,21,1,11,2,0,0,0,0,8,1,1579,8,80,11,1,0,0,2,1,0
5,5.05032E+12,24,31,0,28,12,204,1,0,0,6,77,0,3,-2,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,10,7,234,3,155,0,0,0,1,1,36,54,6,17,1,10,0,0,1,1,1,7,4,1376,7,45,10,0,0,0,2,0,1
5,3.31001E+14,40,168,2,35,19,261,2,1,0,2,6,0,0,0,0,0,0,0,2,24,0,0,0,0,1,0,4,4,0,0,0,0,0,28,6,217,5,276,1,1,0,0,0,36,24,8,19,0,0,0,0,12,0,12,12,1,1958,4,32,12,4,1,0,5,3,0
5,6.90001E+14,29,112,0,34,19,135,1,1,0,7,159,0,1,11,0,0,0,1,1,11,0,1,0,0,1,1,2,2,0,0,0,0,0,17,8,293,4,232,0,1,0,2,1,44,20,4,13,1,8,0,0,1,1,9,6,1,1592,7,72,14,5,0,0,1,1,0
5,5.00712E+12,30,171,0,32,22,259,2,0,0,5,112,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,20,2,60,5,302,0,0,1,2,1,31,48,5,15,2,10,1,1,4,0,6,14,1,1737,8,59,11,5,2,1,4,1,2
5,2.04001E+14,36,193,3,18,11,117,0,2,0,4,95,0,2,11,0,0,0,0,2,62,1,0,0,0,0,0,4,4,0,0,0,0,0,28,3,135,5,279,0,0,0,1,1,50,22,6,10,2,3,0,2,3,0,8,5,1,1514,6,54,11,4,2,0,3,2,0
8,8.07422E+12,49,268,2,30,15,230,1,1,1,5,99,0,3,35,0,0,0,0,0,0,0,0,0,0,5,4,2,2,1,1,0,0,0,34,5,224,8,517,0,0,0,2,1,28,26,9,43,5,38,0,2,3,0,9,11,2,2222,10,83,17,6,0,0,8,3,3
8,2.31001E+14,42,275,4,24,18,241,1,0,0,2,30,0,4,101,0,0,0,0,1,17,0,0,0,0,3,2,4,4,1,0,0,0,0,40,3,129,8,442,0,1,0,1,0,34,28,11,48,5,38,9,0,6,0,14,12,0,1898,7,65,10,3,1,1,5,2,2
8,4.97001E+14,45,260,5,28,22,263,2,0,0,2,71,0,4,90,0,0,0,0,0,0,0,0,0,0,2,2,7,5,0,0,0,0,0,53,1,49,9,618,2,0,0,4,1,26,40,4,15,0,0,1,0,5,0,15,12,1,1843,2,15,14,10,1,1,7,5,2
8,3.10008E+13,41,134,2,24,17,291,3,0,0,2,33,0,5,75,0,0,0,0,1,24,0,0,0,0,0,0,5,5,0,0,0,0,0,35,7,288,6,386,2,0,0,0,0,31,24,8,54,3,28,8,0,8,1,6,9,3,2016,7,60,15,6,1,0,3,2,0
8,8.03342E+12,42,204,2,26,15,148,2,0,0,5,141,0,0,0,0,1,45,1,3,27,0,0,0,0,1,1,5,5,0,0,0,0,0,38,5,199,7,416,2,0,0,0,0,53,16,5,20,2,10,4,1,2,0,9,7,2,2004,6,47,17,8,3,2,5,3,1
8,8.04332E+12,41,200,1,35,16,154,0,0,0,2,40,0,3,5,0,0,0,0,4,79,0,0,0,0,5,5,1,1,0,0,0,0,0,22,6,245,7,453,1,0,0,2,1,35,12,4,13,0,0,5,2,5,1,9,8,0,2299,4,30,20,4,4,4,6,0,5
8,6.48001E+14,38,264,1,20,10,92,0,2,0,2,45,0,5,75,0,0,0,0,1,77,1,0,0,0,3,2,2,2,0,0,0,0,0,20,3,136,5,293,0,0,0,2,2,36,36,9,34,5,26,8,1,11,0,12,4,1,1697,10,113,10,3,0,0,3,1,2
8,6.94001E+14,30,136,0,29,18,120,0,0,0,1,30,0,2,33,0,0,0,0,1,11,0,2,10,0,4,4,0,0,0,0,0,0,0,12,3,132,5,330,0,0,0,1,1,40,42,8,33,2,19,5,0,8,2,8,6,2,1662,1,10,14,5,1,0,1,0,1
8,3.65001E+14,38,176,0,34,19,276,2,1,0,3,78,0,4,11,0,0,0,0,1,0,0,0,0,0,3,3,1,1,1,1,0,0,0,24,4,151,7,461,2,0,0,1,0,25,40,7,38,3,27,8,0,1,0,10,13,1,1972,4,20,14,4,1,1,2,0,2
8,8.04302E+12,40,252,2,18,13,192,2,0,0,2,70,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,4,4,0,0,0,0,0,31,5,206,6,384,0,0,0,0,0,40,17,6,36,2,18,2,0,5,0,12,5,0,1896,3,25,11,4,1,0,1,1,0
