Team Code,Team Name,Conference,Game Code,Date,Rush Yard,Pass Yard,Total Yards,Bye,Off Points,Def Points,Result
8,Alabama,Southeastern Conference,8.07E+12,8/31/2013,96,110,206,,21,7,W
8,Alabama,Southeastern Conference,8.07E+12,9/14/2013,234,334,568,,37,20,W
8,Alabama,Southeastern Conference,1.56E+14,9/21/2013,66,272,338,,21,3,W
8,Alabama,Southeastern Conference,4.33E+14,9/28/2013,254,180,434,,32,16,W
8,Alabama,Southeastern Conference,2.54E+14,10/5/2013,181,296,477,,36,13,W
8,Alabama,Southeastern Conference,8.03E+12,10/12/2013,299,369,668,,29,16,W
8,Alabama,Southeastern Conference,3.10E+13,10/19/2013,352,180,532,,29,10,W
8,Alabama,Southeastern Conference,6.94E+14,10/26/2013,204,275,479,,26,5,W
8,Alabama,Southeastern Conference,5.22E+14,1/2/2014,129,387,516,,23,19,W
8,Alabama,Southeastern Conference,8.00E+12,11/30/2013,218,277,495,x,34,9,W
8,Alabama,Southeastern Conference,6.93E+14,11/23/2013,251,184,435,,20,10,W
8,Alabama,Southeastern Conference,8.04E+12,11/16/2013,196,187,383,,6,7,L
8,Alabama,Southeastern Conference,3.65E+14,11/9/2013,193,179,372,,8,35,L
31,Arkansas,Southeastern Conference,6.71E+14,8/31/2013,292,230,522,,35,9,W
31,Arkansas,Southeastern Conference,6.25E+14,9/7/2013,333,125,458,,22,9,W
31,Arkansas,Southeastern Conference,6.64E+14,9/14/2013,258,69,327,,25,2,W
31,Arkansas,Southeastern Conference,6.97E+14,9/28/2013,201,282,483,,34,3,W
31,Arkansas,Southeastern Conference,3.10E+13,11/9/2013,196,193,389,,9,13,L
31,Arkansas,Southeastern Conference,3.10E+13,11/29/2013,182,178,360,,2,37,L
31,Arkansas,Southeastern Conference,3.70E+13,11/2/2013,222,124,346,x,8,21,L
31,Arkansas,Southeastern Conference,4.30E+14,11/23/2013,225,114,339,,7,29,L
31,Arkansas,Southeastern Conference,3.11E+13,9/21/2013,101,182,283,,1,39,L
31,Arkansas,Southeastern Conference,3.10E+13,10/5/2013,111,164,275,,7,16,L
31,Arkansas,Southeastern Conference,3.10E+13,10/19/2013,165,91,256,,7,25,L
31,Arkansas,Southeastern Conference,6.48E+14,10/12/2013,218,30,248,,2,20,L
37,Auburn,Southeastern Conference,4.34E+14,12/7/2013,545,132,677,,34,4,W
37,Auburn,Southeastern Conference,2.29E+14,10/26/2013,422,206,628,,20,11,W
37,Auburn,Southeastern Conference,7.54E+14,8/31/2013,295,99,394,,37,6,W
37,Auburn,Southeastern Conference,3.00E+13,9/7/2013,301,167,468,,29,8,W
37,Auburn,Southeastern Conference,4.30E+14,9/14/2013,120,339,459,,21,5,W
37,Auburn,Southeastern Conference,3.71E+13,10/19/2013,379,236,615,,37,11,W
37,Auburn,Southeastern Conference,4.33E+14,10/5/2013,282,93,375,x,39,11,W
37,Auburn,Southeastern Conference,7.69E+14,10/12/2013,511,201,712,,23,12,W
37,Auburn,Southeastern Conference,2.57E+14,11/16/2013,323,243,566,,35,2,W
37,Auburn,Southeastern Conference,3.71E+13,11/9/2013,444,35,479,,22,16,W
37,Auburn,Southeastern Conference,3.70E+13,1/6/2014,232,217,449,,33,2,W
37,Auburn,Southeastern Conference,3.70E+13,9/21/2013,213,224,437,,38,17,W
37,Auburn,Southeastern Conference,8.00E+12,11/30/2013,296,97,393,,4,28,L
37,Auburn,Southeastern Conference,3.70E+13,11/2/2013,233,133,366,,8,21,L
67,Boston College,Atlantic Coast Conference,7.39E+14,8/31/2013,128,285,413,,29,12,W
67,Boston College,Atlantic Coast Conference,7.49E+14,9/6/2013,191,123,314,,28,7,W
67,Boston College,Atlantic Coast Conference,7.25E+14,10/5/2013,320,203,523,,21,10,W
67,Boston College,Atlantic Coast Conference,6.70E+13,11/9/2013,320,230,550,,29,6,W
67,Boston College,Atlantic Coast Conference,4.90E+14,11/16/2013,420,53,473,x,29,10,W
67,Boston College,Atlantic Coast Conference,2.34E+14,9/28/2013,200,197,397,,9,32,L
67,Boston College,Atlantic Coast Conference,6.70E+13,11/23/2013,254,120,374,,1,10,L
67,Boston College,Atlantic Coast Conference,6.71E+13,11/30/2013,191,168,359,,2,11,L
67,Boston College,Atlantic Coast Conference,2.90E+13,12/31/2013,145,206,351,,5,14,L
67,Boston College,Atlantic Coast Conference,7.42E+14,11/2/2013,196,93,289,,6,35,L
