Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
2.07047E+14,9/2/2010,207,466,90,TEAM
2.28042E+14,9/2/2010,228,415,30,TEAM
2.29001E+14,9/2/2010,229,9,2,TEAM
2.70013E+14,9/2/2010,270,129,70,TEAM
3.88052E+14,9/2/2010,388,518,99,TEAM
4.28042E+14,9/2/2010,428,419,116,TEAM
4.54033E+14,9/2/2010,454,331,100,TEAM
4.85059E+14,9/2/2010,485,587,86,TEAM
4.9403E+14,9/2/2010,494,295,43,TEAM
5.03031E+14,9/2/2010,503,311,40,TEAM
5.45073E+14,9/2/2010,545,732,135,TEAM
5.72009E+14,9/2/2010,572,86,91,TEAM
6.54005E+14,9/2/2010,654,47,48,TEAM
6.55072E+14,9/2/2010,655,718,58,TEAM
6.57028E+14,9/2/2010,657,277,39,TEAM
6.64065E+14,9/2/2010,664,648,113,TEAM
7.11031E+14,9/2/2010,711,306,47,TEAM
1.32007E+15,9/2/2010,1320,749,83,TEAM
2.90709E+13,9/3/2010,29,709,102,TEAM
7.39069E+14,9/3/2010,739,690,109,TEAM
3.00037E+13,9/4/2010,30,37,1,TEAM
7.10716E+13,9/4/2010,71,716,4,TEAM
1.02067E+14,9/4/2010,102,674,19,TEAM
1.08011E+14,9/4/2010,108,107,12,TEAM
1.10033E+14,9/4/2010,110,327,52,TEAM
1.4001E+14,9/4/2010,140,96,13,TEAM
1.49077E+14,9/4/2010,149,768,143,TEAM
1.57016E+14,9/4/2010,157,156,22,NEUTRAL
1.64042E+14,9/4/2010,164,418,66,TEAM
2.01031E+14,9/4/2010,201,312,41,TEAM
3.01043E+14,9/4/2010,301,434,149,NEUTRAL
3.15043E+14,9/4/2010,315,433,76,TEAM
3.34037E+14,9/4/2010,334,367,54,TEAM
3.65046E+14,9/4/2010,365,457,38,NEUTRAL
3.66026E+14,9/4/2010,366,261,60,NEUTRAL
4.04043E+14,9/4/2010,404,430,77,TEAM
4.14024E+14,9/4/2010,414,235,27,TEAM
4.73053E+14,9/4/2010,473,529,108,TEAM
4.83063E+14,9/4/2010,483,626,16,TEAM
4.93033E+14,9/4/2010,493,328,51,TEAM
4.97015E+14,9/4/2010,497,147,112,TEAM
5.08072E+14,9/4/2010,508,721,21,TEAM
5.09074E+14,9/4/2010,509,736,117,TEAM
5.2807E+14,9/4/2010,528,698,155,NEUTRAL
5.50003E+14,9/4/2010,550,28,10,TEAM
5.59051E+14,9/4/2010,559,513,49,TEAM
5.75075E+14,9/4/2010,575,746,137,TEAM
6.24005E+14,9/4/2010,624,51,132,TEAM
6.25023E+14,9/4/2010,625,234,33,TEAM
6.30001E+14,9/4/2010,630,8,5,TEAM
6.47026E+14,9/4/2010,647,255,37,TEAM
6.50013E+14,9/4/2010,650,128,146,TEAM
6.67081E+14,9/4/2010,667,811,144,TEAM
