Date,Day,Winner,Pts,Loser,Pts
9/3/2009,Thu,Boise State,19,Oregon,8
9/3/2009,Thu,Bowling Green State,31,Troy,14
9/3/2009,Thu,Indiana,19,Eastern Kentucky,13
9/3/2009,Thu,Iowa State,34,North Dakota State,17
9/3/2009,Thu,Kent State,18,Coastal Carolina,0
9/3/2009,Thu,North Texas,20,Ball State,10
9/3/2009,Thu,South Carolina,7,North Carolina State,3
9/3/2009,Thu,Utah,35,Utah State,17
9/3/2009,Thu,Villanova,27,Temple,24
9/4/2009,Fri,Hawaii,25,Central Arkansas,20
9/4/2009,Fri,Tulsa,37,Tulane,13
9/5/2009,Sat,Air Force,72,Nicholls State,0
9/5/2009,Sat,Alabama,34,Virginia Tech,24
9/5/2009,Sat,Alabama-Birmingham,44,Rice,24
9/5/2009,Sat,Arizona,19,Central Michigan,6
9/5/2009,Sat,Arizona State,50,Idaho State,3
9/5/2009,Sat,Arkansas,48,Missouri State,10
9/5/2009,Sat,Arkansas State,61,Mississippi Valley State,0
9/5/2009,Sat,Army,27,Eastern Michigan,14
9/5/2009,Sat,Auburn,37,Louisiana Tech,13
9/5/2009,Sat,Baylor,24,Wake Forest,21
9/5/2009,Sat,Boston College,54,Northeastern,0
9/5/2009,Sat,Brigham Young,14,Oklahoma,13
9/5/2009,Sat,Brigham Young,14,Oklahoma,13
9/5/2009,Sat,Buffalo,23,Texas-El Paso,17
9/5/2009,Sat,California,52,Maryland,13
9/5/2009,Sat,Central Florida,28,Samford,24
9/5/2009,Sat,Clemson,37,Middle Tennessee State,14
9/5/2009,Sat,Connecticut,23,Ohio,16
9/5/2009,Sat,East Carolina,29,Appalachian State,24
9/5/2009,Sat,Florida,62,Charleston Southern,3
9/5/2009,Sat,Fresno State,51,California-Davis,0
9/5/2009,Sat,Georgia Tech,37,Jacksonville State,17
9/5/2009,Sat,Houston,55,Northwestern State,7
9/5/2009,Sat,Idaho,21,New Mexico State,6
9/5/2009,Sat,Iowa,17,Northern Iowa,16
9/5/2009,Sat,Kansas,49,Northern Colorado,3
9/5/2009,Sat,Kansas State,21,Massachusetts,17
9/5/2009,Sat,Kentucky,42,Miami (OH),0
9/5/2009,Sat,Kentucky,42,Miami (OH),0
9/5/2009,Sat,Louisiana,42,Southern,19
9/5/2009,Sat,LSU,31,Washington,23
9/5/2009,Sat,Louisville,30,Indiana State,10
9/5/2009,Sat,Marshall,31,Southern Illinois,28
9/5/2009,Sat,Michigan,31,Western Michigan,7
9/5/2009,Sat,Michigan State,44,Montana State,3
9/5/2009,Sat,Minnesota,23,Syracuse,20
9/5/2009,Sat,Mississippi State,45,Jackson State,7
9/5/2009,Sat,Missouri,37,Illinois,9
9/5/2009,Sat,Nebraska,49,Florida Atlantic,3
9/5/2009,Sat,Nevada-Las Vegas,38,Sacramento State,3
9/5/2009,Sat,North Carolina,40,Citadel,6
9/5/2009,Sat,Northwestern,47,Towson,14
9/5/2009,Sat,Notre Dame,35,Nevada,0
9/5/2009,Sat,Ohio State,31,Navy,27
9/5/2009,Sat,Oklahoma State,24,Georgia,10
9/5/2009,Sat,Oregon State,34,Portland State,7
9/5/2009,Sat,Penn State,31,Akron,7
9/5/2009,Sat,Pittsburgh,38,Youngstown State,3
9/5/2009,Sat,Purdue,52,Toledo,31
9/5/2009,Sat,Richmond,24,Duke,16
9/5/2009,Sat,South Florida,40,Wofford,7
9/5/2009,Sat,USC,56,San Jose State,3
9/5/2009,Sat,Southern Methodist,31,Stephen F. Austin,23
9/5/2009,Sat,Southern Mississippi,52,Alcorn State,0
9/5/2009,Sat,Stanford,39,Washington State,13
9/5/2009,Sat,Tennessee,63,Western Kentucky,7
9/5/2009,Sat,Texas,59,Louisiana-Monroe,20
9/5/2009,Sat,Texas A&M,41,New Mexico,6
9/5/2009,Sat,Texas Tech,38,North Dakota,13
9/5/2009,Sat,UCLA,33,San Diego State,14
9/5/2009,Sat,Vanderbilt,45,Western Carolina,0
9/5/2009,Sat,West Virginia,33,Liberty,20
9/5/2009,Sat,William & Mary,26,Virginia,14
9/5/2009,Sat,Wisconsin,28,Northern Illinois,20
9/5/2009,Sat,Wyoming,29,Weber State,22
9/6/2009,Sun,Colorado State,23,Colorado,17
9/6/2009,Sun,Mississippi,45,Memphis,14
9/7/2009,Mon,Cincinnati,47,Rutgers,15
9/7/2009,Mon,Miami (Florida),38,Florida State,34
9/10/2009,Thu,Georgia Tech,30,Clemson,27
9/11/2009,Fri,Toledo,54,Colorado,38
9/12/2009,Sat,Akron,41,Morgan State,0
9/12/2009,Sat,Alabama,40,Florida International,14
9/12/2009,Sat,Arizona,34,Northern Arizona,17
9/12/2009,Sat,Auburn,49,Mississippi State,24
9/12/2009,Sat,Boise State,48,Miami (OH),0
9/12/2009,Sat,Boston College,34,Kent State,7
9/12/2009,Sat,Brigham Young,54,Tulane,3
9/12/2009,Sat,California,59,Eastern Washington,7
9/12/2009,Sat,Central Michigan,29,Michigan State,27
9/12/2009,Sat,Cincinnati,70,Southeast Missouri State,3
9/12/2009,Sat,Colorado State,24,Weber State,23
9/12/2009,Sat,Duke,35,Army,19
9/12/2009,Sat,Florida,56,Troy,6
9/12/2009,Sat,Florida State,19,Jacksonville State,9
9/12/2009,Sat,Georgia,41,South Carolina,37
9/12/2009,Sat,Hawaii,38,Washington State,20
9/12/2009,Sat,Houston,45,Oklahoma State,35
9/12/2009,Sat,Illinois,45,Illinois State,17
9/12/2009,Sat,Indiana,23,Western Michigan,19
9/12/2009,Sat,Iowa,35,Iowa State,3
9/12/2009,Sat,Kansas,34,Texas-El Paso,7
9/12/2009,Sat,Louisiana,17,Kansas State,15
9/12/2009,Sat,LSU,23,Vanderbilt,9
9/12/2009,Sat,Louisiana-Monroe,58,Texas Southern,0
9/12/2009,Sat,Maryland,38,James Madison,35
9/12/2009,Sat,Michigan,38,Notre Dame,34
9/12/2009,Sat,Middle Tennessee State,31,Memphis,14
9/12/2009,Sat,Minnesota,20,Air Force,13
9/12/2009,Sat,Missouri,27,Bowling Green State,20
9/12/2009,Sat,Navy,32,Louisiana Tech,14
9/12/2009,Sat,Nebraska,38,Arkansas State,9
9/12/2009,Sat,New Hampshire,23,Ball State,16
9/12/2009,Sat,New Mexico State,21,Prairie View A&M,18
9/12/2009,Sat,North Carolina,12,Connecticut,10
9/12/2009,Sat,North Carolina State,65,Murray State,7
9/12/2009,Sat,Northern Illinois,41,Western Illinois,7
9/12/2009,Sat,Northwestern,27,Eastern Michigan,24
9/12/2009,Sat,Ohio,31,North Texas,30
9/12/2009,Sat,Oklahoma,64,Idaho State,0
9/12/2009,Sat,Oregon,38,Purdue,36
9/12/2009,Sat,Oregon State,23,Nevada-Las Vegas,21
9/12/2009,Sat,Penn State,28,Syracuse,7
9/12/2009,Sat,Pittsburgh,54,Buffalo,27
9/12/2009,Sat,Rutgers,45,Howard,7
9/12/2009,Sat,San Diego State,35,Southern Utah,19
9/12/2009,Sat,South Florida,35,Western Kentucky,13
9/12/2009,Sat,USC,18,Ohio State,15
9/12/2009,Sat,Southern Methodist,35,Alabama-Birmingham,33
9/12/2009,Sat,Southern Mississippi,26,Central Florida,19
9/12/2009,Sat,Texas,41,Wyoming,10
9/12/2009,Sat,TCU,30,Virginia,14
9/12/2009,Sat,Texas Tech,55,Rice,10
9/12/2009,Sat,Tulsa,44,New Mexico,10
9/12/2009,Sat,UCLA,19,Tennessee,15
9/12/2009,Sat,Utah,24,San Jose State,14
9/12/2009,Sat,Virginia Tech,52,Marshall,10
9/12/2009,Sat,Wake Forest,24,Stanford,17
9/12/2009,Sat,Washington,42,Idaho,23
9/12/2009,Sat,West Virginia,35,East Carolina,20
9/12/2009,Sat,Wisconsin,34,Fresno State,31
9/17/2009,Thu,Miami (Florida),33,Georgia Tech,17
9/18/2009,Fri,Boise State,51,Fresno State,34
9/19/2009,Sat,Air Force,37,New Mexico,13
9/19/2009,Sat,Alabama,53,North Texas,7
9/19/2009,Sat,Arizona State,38,Louisiana-Monroe,14
9/19/2009,Sat,Army,24,Ball State,17
9/19/2009,Sat,Auburn,41,West Virginia,30
9/19/2009,Sat,California,35,Minnesota,21
9/19/2009,Sat,Central Arkansas,28,Western Kentucky,7
9/19/2009,Sat,Central Florida,23,Buffalo,17
9/19/2009,Sat,Central Michigan,48,Alcorn State,0
9/19/2009,Sat,Cincinnati,28,Oregon State,18
9/19/2009,Sat,Clemson,25,Boston College,7
9/19/2009,Sat,Colorado,24,Wyoming,0
9/19/2009,Sat,Colorado State,35,Nevada,20
9/19/2009,Sat,Connecticut,30,Baylor,22
9/19/2009,Sat,Florida,23,Tennessee,13
9/19/2009,Sat,Florida State,54,Brigham Young,28
9/19/2009,Sat,Georgia,52,Arkansas,41
9/19/2009,Sat,Idaho,34,San Diego State,20
9/19/2009,Sat,Indiana,38,Akron,21
9/19/2009,Sat,Iowa,27,Arizona,17
9/19/2009,Sat,Iowa State,34,Kent State,14
9/19/2009,Sat,Kansas,44,Duke,16
9/19/2009,Sat,Kentucky,31,Louisville,27
9/19/2009,Sat,LSU,31,Louisiana,3
9/19/2009,Sat,Louisiana Tech,48,Nicholls State,13
9/19/2009,Sat,Marshall,17,Bowling Green State,10
9/19/2009,Sat,Memphis,41,Tennessee-Martin,14
9/19/2009,Sat,Michigan,45,Eastern Michigan,17
9/19/2009,Sat,Middle Tennessee State,32,Maryland,31
9/19/2009,Sat,Mississippi,52,Southeastern Louisiana,6
9/19/2009,Sat,Mississippi State,15,Vanderbilt,3
9/19/2009,Sat,Missouri,52,Furman,12
9/19/2009,Sat,Nevada-Las Vegas,34,Hawaii,33
9/19/2009,Sat,North Carolina,31,East Carolina,17
9/19/2009,Sat,North Carolina State,45,Gardner-Webb,14
9/19/2009,Sat,Northern Illinois,28,Purdue,21
9/19/2009,Sat,Notre Dame,33,Michigan State,30
9/19/2009,Sat,Ohio,28,Cal Poly,10
9/19/2009,Sat,Ohio State,38,Toledo,0
9/19/2009,Sat,Ohio State,38,Toledo,0
9/19/2009,Sat,Oklahoma,45,Tulsa,0
9/19/2009,Sat,Oklahoma State,41,Rice,24
9/19/2009,Sat,Oregon,31,Utah,24
9/19/2009,Sat,Penn State,31,Temple,6
9/19/2009,Sat,Pittsburgh,27,Navy,14
9/19/2009,Sat,Rutgers,23,Florida International,15
9/19/2009,Sat,South Carolina,38,Florida Atlantic,16
9/19/2009,Sat,South Florida,59,Charleston Southern,0
9/19/2009,Sat,Southern Mississippi,37,Virginia,34
9/19/2009,Sat,Stanford,42,San Jose State,17
9/19/2009,Sat,Syracuse,37,Northwestern,34
9/19/2009,Sat,Texas,34,Texas Tech,24
9/19/2009,Sat,Texas A&M,38,Utah State,30
9/19/2009,Sat,TCU,56,Texas State,21
9/19/2009,Sat,Texas-El Paso,38,New Mexico State,12
9/19/2009,Sat,Troy,27,Alabama-Birmingham,14
9/19/2009,Sat,UCLA,23,Kansas State,9
9/19/2009,Sat,Virginia Tech,16,Nebraska,15
9/19/2009,Sat,Wake Forest,35,Elon,7
9/19/2009,Sat,Washington,16,USC,13
9/19/2009,Sat,Washington State,30,Southern Methodist,27
9/19/2009,Sat,Western Michigan,48,Miami (OH),26
9/19/2009,Sat,Wisconsin,44,Wofford,14
9/24/2009,Thu,South Carolina,16,Mississippi,10
9/25/2009,Fri,Missouri,31,Nevada,21
9/26/2009,Sat,Air Force,26,San Diego State,14
9/26/2009,Sat,Alabama,35,Arkansas,7
9/26/2009,Sat,Arizona,37,Oregon State,32
9/26/2009,Sat,Auburn,54,Ball State,30
