Wk,Date,Day,Winner,Pts,Loser,Pts
20,1/9/2012,Mon, Alabama,21,LSU,0
20,1/9/2012,Mon, Alabama,21,LSU,0
9,10/29/2011,Sat, Oklahoma,58, Kansas State,17
10,11/5/2011,Sat, Arkansas,44, South Carolina,28
5,10/1/2011,Sat,Auburn,16, South Carolina,13
4,9/24/2011,Sat, Clemson,35, Florida State,30
20,1/6/2012,Fri, Arkansas,29, Kansas State,16
7,10/15/2011,Sat, Michigan State,28, Michigan,14
14,12/3/2011,Sat, Wisconsin,42, Michigan State,39
14,12/3/2011,Sat, Wisconsin,42, Michigan State,39
6,10/8/2011,Sat, Oklahoma,55, Texas,17
6,10/8/2011,Sat,Oklahoma,55, Texas,17
5,10/1/2011,Sat, Clemson,23, Virginia Tech,3
8,10/21/2011,Fri,Syracuse,49, West Virginia,23
5,10/1/2011,Sat, Alabama,38, Florida,10
14,12/3/2011,Sat,LSU,42, Georgia,10
7,10/15/2011,Sat,Virginia,24, Georgia Tech,21
11,11/12/2011,Sat, Nebraska,17, Penn State,14
9,10/29/2011,Sat,Ohio State,33, Wisconsin,29
10,11/5/2011,Sat,Iowa,24, Michigan,16
14,12/3/2011,Sat, Oklahoma State,44, Oklahoma,10
4,9/24/2011,Sat, Alabama,38, Arkansas,14
20,1/4/2012,Wed,West Virginia,70, Clemson,33
5,10/1/2011,Sat, Arkansas,42, Texas A&M,38
1,9/2/2011,Fri,Baylor,50,TCU,48
6,10/8/2011,Sat,Arkansas,38, Auburn,14
5,10/1/2011,Sat,Kansas State,36, Baylor,35
3,9/17/2011,Sat,Notre Dame,31, Michigan State,13
7,10/15/2011,Sat,Ohio State,17, Illinois,7
2,9/10/2011,Sat,Auburn,41, Mississippi State,34
1,9/3/2011,Sat,South Florida,23,Notre Dame,20
5,9/29/2011,Thu,Pittsburgh,44, South Florida,17
9,10/29/2011,Sat,Missouri,38,Texas A&M,31
4,9/24/2011,Sat,LSU,47, West Virginia,21
6,10/8/2011,Sat,LSU,41, Florida,11
10,11/5/2011,Sat,Oklahoma State,52, Kansas State,45
12,11/19/2011,Sat, Michigan,45, Nebraska,17
3,9/17/2011,Sat,Miami (Florida),24, Ohio State,6
20,1/3/2012,Tue, Michigan,23, Virginia Tech,20
20,1/3/2012,Tue, Michigan,23, Virginia Tech,20
7,10/15/2011,Sat, Oregon,41, Arizona State,27
13,11/26/2011,Sat, South Carolina,34, Clemson,13
19,1/2/2012,Mon,Michigan State,33, Georgia,30
8,10/22/2011,Sat,LSU,45, Auburn,10
1,9/3/2011,Sat, Boise State,35, Georgia,21
