Date,Day,Winner,Pts,Loser,Pts
8/29/2013,Thu,Ball State,51,Illinois State,28
8/29/2013,Thu,Bowling Green State,34,Tulsa,7
8/29/2013,Thu,Central Florida,38,Akron,7
8/29/2013,Thu,Fresno State,52,Rutgers,51
8/29/2013,Thu,Indiana,73,Indiana State,35
8/29/2013,Thu,Kent State,17,Liberty,10
8/29/2013,Thu,Middle Tennessee State,45,Western Carolina,24
8/29/2013,Thu,Minnesota,51,Nevada-Las Vegas,23
8/29/2013,Thu,Mississippi,39,Vanderbilt,35
8/29/2013,Thu,San Jose State,24,Sacramento State,0
8/29/2013,Thu,South Carolina,27,North Carolina,10
8/29/2013,Thu,USC,30,Hawaii,13
8/29/2013,Thu,Southern Utah,22,South Alabama,21
8/29/2013,Thu,Towson,33,Connecticut,18
8/29/2013,Thu,Tulane,34,Jackson State,7
8/29/2013,Thu,Utah,30,Utah State,26
8/29/2013,Thu,Wake Forest,31,Presbyterian,7
8/30/2013,Fri,Arizona,35,Northern Arizona,0
8/30/2013,Fri,Army,28,Morgan State,12
8/30/2013,Fri,Houston,62,Southern,13
8/30/2013,Fri,Miami (Florida),34,Florida Atlantic,6
8/30/2013,Fri,Michigan State,26,Western Michigan,13
8/30/2013,Fri,North Dakota State,24,Kansas State,21
8/30/2013,Fri,Samford,31,Georgia State,21
8/30/2013,Fri,Texas Tech,41,Southern Methodist,23
8/31/2013,Sat,Air Force,38,Colgate,13
8/31/2013,Sat,Alabama,35,Virginia Tech,10
8/31/2013,Sat,Arkansas,34,Louisiana,14
8/31/2013,Sat,Arkansas State,62,Arkansas-Pine Bluff,11
8/31/2013,Sat,Auburn,31,Washington State,24
8/31/2013,Sat,Baylor,69,Wofford,3
8/31/2013,Sat,Boston College,24,Villanova,14
8/31/2013,Sat,Cincinnati,42,Purdue,7
8/31/2013,Sat,Clemson,38,Georgia,35
8/31/2013,Sat,Duke,45,North Carolina Central,0
8/31/2013,Sat,East Carolina,52,Old Dominion,38
8/31/2013,Sat,Eastern Illinois,40,San Diego State,19
8/31/2013,Sat,Eastern Michigan,34,Howard,24
8/31/2013,Sat,Eastern Washington,49,Oregon State,46
8/31/2013,Sat,Florida,24,Toledo,6
8/31/2013,Sat,Georgia Tech,70,Elon,0
8/31/2013,Sat,Illinois,42,Southern Illinois,34
8/31/2013,Sat,LSU,37,TCU,27
8/31/2013,Sat,Marshall,52,Miami (OH),14
8/31/2013,Sat,Maryland,43,Florida International,10
8/31/2013,Sat,McNeese State,53,South Florida,21
8/31/2013,Sat,Michigan,59,Central Michigan,9
8/31/2013,Sat,Missouri,58,Murray State,14
8/31/2013,Sat,Nebraska,37,Wyoming,34
8/31/2013,Sat,North Carolina State,40,Louisiana Tech,14
8/31/2013,Sat,North Texas,40,Idaho,6
8/31/2013,Sat,Northern Illinois,30,Iowa,27
8/31/2013,Sat,Northern Iowa,28,Iowa State,20
8/31/2013,Sat,Northwestern,44,California,30
8/31/2013,Sat,Notre Dame,28,Temple,6
8/31/2013,Sat,Ohio State,40,Buffalo,20
8/31/2013,Sat,Oklahoma,34,Louisiana-Monroe,0
8/31/2013,Sat,Oklahoma State,21,Mississippi State,3
8/31/2013,Sat,Oregon,66,Nicholls State,3
8/31/2013,Sat,Penn State,23,Syracuse,17
8/31/2013,Sat,Tennessee,45,Austin Peay,0
8/31/2013,Sat,Texas,56,New Mexico State,7
8/31/2013,Sat,Texas A&M,52,Rice,31
8/31/2013,Sat,Texas State,22,Southern Mississippi,15
8/31/2013,Sat,Texas-San Antonio,21,New Mexico,13
8/31/2013,Sat,Troy,34,Alabama-Birmingham,31
8/31/2013,Sat,UCLA,58,Nevada,20
8/31/2013,Sat,Virginia,19,Brigham Young,16
8/31/2013,Sat,Washington,38,Boise State,6
8/31/2013,Sat,West Virginia,24,William & Mary,17
8/31/2013,Sat,Western Kentucky,35,Kentucky,26
8/31/2013,Sat,Wisconsin,45,Massachusetts,0
9/1/2013,Sun,Colorado,41,Colorado State,27
9/1/2013,Sun,Louisville,49,Ohio,7
9/2/2013,Mon,Florida State,41,Pittsburgh,13
9/5/2013,Thu,Arizona State,55,Sacramento State,0
9/5/2013,Thu,East Carolina,31,Florida Atlantic,13
9/6/2013,Fri,Boston College,24,Wake Forest,10
9/6/2013,Fri,Central Florida,38,Florida International,0
9/7/2013,Sat,Akron,35,James Madison,33
9/7/2013,Sat,Arizona,58,Nevada-Las Vegas,13
9/7/2013,Sat,Arkansas,31,Samford,21
9/7/2013,Sat,Auburn,38,Arkansas State,9
9/7/2013,Sat,Ball State,40,Army,14
9/7/2013,Sat,Baylor,70,Buffalo,13
9/7/2013,Sat,Boise State,63,Tennessee-Martin,14
9/7/2013,Sat,Bowling Green State,41,Kent State,22
9/7/2013,Sat,Brigham Young,40,Texas,21
9/7/2013,Sat,California,37,Portland State,30
9/7/2013,Sat,Central Michigan,24,New Hampshire,21
9/7/2013,Sat,Chattanooga,42,Georgia State,14
9/7/2013,Sat,Clemson,52,South Carolina State,13
9/7/2013,Sat,Colorado,38,Central Arkansas,24
9/7/2013,Sat,Duke,28,Memphis,14
9/7/2013,Sat,Fresno State,41,Cal Poly,25
9/7/2013,Sat,Georgia,41,South Carolina,30
9/7/2013,Sat,Houston,22,Temple,13
9/7/2013,Sat,Illinois,45,Cincinnati,17
9/7/2013,Sat,Iowa,28,Missouri State,14
9/7/2013,Sat,Kansas,31,South Dakota,14
9/7/2013,Sat,Kansas State,48,Louisiana,27
9/7/2013,Sat,Kentucky,41,Miami (OH),7
9/7/2013,Sat,LSU,56,Alabama-Birmingham,17
9/7/2013,Sat,Louisiana Tech,27,Lamar,14
9/7/2013,Sat,Louisiana-Monroe,48,Grambling State,10
9/7/2013,Sat,Louisville,44,Eastern Kentucky,7
9/7/2013,Sat,Maine,24,Massachusetts,14
9/7/2013,Sat,Marshall,55,Gardner-Webb,0
9/7/2013,Sat,Maryland,47,Old Dominion,10
9/7/2013,Sat,Miami (Florida),21,Florida,16
9/7/2013,Sat,Michigan,41,Notre Dame,30
9/7/2013,Sat,Michigan State,21,South Florida,6
9/7/2013,Sat,Minnesota,44,New Mexico State,21
9/7/2013,Sat,Mississippi,31,Southeast Missouri State,13
9/7/2013,Sat,Mississippi State,51,Alcorn State,7
9/7/2013,Sat,Missouri,38,Toledo,23
