Team Code,Name,Conference Code,,,,,,,,,,
8,Alabama,11/09/13,9/14/2013,10/13/2012,11/5/2011,11/26/2010,11/6/2010,11/7/2009,,,,
29,Arizona,10/10/13,9/28/2013,10/20/2012,10/20/2011,11/26/2010,10/9/2010,11/7/2009,10/10/2009,,,
28,Arizona State,10/31/13,10/11/2012,10/29/2011,11/26/2010,10/23/2010,9/19/2009,,,,,
31,Arkansas,11/23/13,11/2/2013,10/27/2012,10/22/2011,10/9/2010,9/19/2009,,,,,
37,Auburn,11/30/13,10/5/2013,10/6/2012,11/12/2011,11/26/2010,11/27/2009,,,,,
51,Baylor,11/07/13,10/5/2013,9/21/2013,10/13/2012,10/29/2011,9/19/2009,,,,,
67,Boston College,821,10/26/2013,9/28/2013,9/29/2012,10/22/2011,9/25/2010,11/14/2009,,,,
107,California,905,9/28/2013,10/6/2011,10/9/2010,12/5/2009,10/17/2009,,,,,
147,Clemson,821,11/14/2013,9/19/2013,10/20/2012,11/12/2011,10/2/2010,10/17/2009,,,,
157,Colorado,25354,9/28/2013,10/11/2012,10/2/2010,10/1/2009,,,,,,
193,Duke,821,11/9/2013,10/12/2013,11/17/2012,10/15/2011,10/16/2010,10/24/2009,,,,
235,Florida,911,11/2/2013,9/21/2013,10/6/2012,10/29/2011,10/30/2010,10/10/2009,,,,
234,Florida State,821,10/19/2013,9/14/2013,11/8/2012,10/8/2011,10/28/2010,10/22/2009,,,,
257,Georgia,911,11/2/2013,9/21/2013,10/20/2012,10/29/2011,11/27/2010,10/31/2009,,,,
255,Georgia Tech,821,11/14/2013,9/14/2013,10/20/2012,11/10/2011,11/4/2010,11/28/2009,,,,
301,Illinois,827,10/19/2013,9/28/2013,10/27/2012,11/12/2011,12/3/2010,10/2/2010,11/27/2009,9/26/2009,,
306,Indiana,827,11/2/2013,10/5/2013,9/29/2012,11/19/2011,9/18/2010,,,,,
312,Iowa,827,11/23/2013,10/19/2013,10/13/2012,10/8/2011,10/16/2010,,,,,
311,Iowa State,25354,9/26/2013,9/14/2013,9/29/2012,11/18/2011,10/1/2011,,,,,
328,Kansas,25354,10/5/2013,12/1/2012,10/6/2012,10/1/2011,10/14/2010,10/10/2009,,,,
327,Kansas State,25354,10/26/2013,10/5/2013,12/1/2012,10/6/2012,12/3/2011,9/17/2011,10/7/2010,,,
334,Kentucky,911,10/24/2013,9/28/2013,11/27/2010,9/19/2009,,,,,,
367,Louisville,823,12/5/2013,11/8/2013,10/5/2013,11/24/2012,10/13/2012,10/1/2011,10/2/2010,9/19/2009,,
365,LSU,911,11/23/2013,11/9/2013,11/3/2012,11/5/2011,11/6/2010,10/24/2009,,,,
392,Maryland,821,11/9/2013,10/5/2013,10/6/2012,9/17/2011,10/16/2010,11/7/2009,,,,
415,Miami (Florida),821,10/17/2013,11/1/2012,9/17/2011,9/23/2010,9/17/2009,,,,,
418,Michigan,827,11/2/2013,10/5/2013,10/6/2012,10/29/2011,10/30/2010,,,,,
416,Michigan State,827,11/16/2013,10/5/2013,11/17/2012,10/15/2011,11/20/2010,,,,,
428,Minnesota,827,11/23/2013,10/19/2013,10/13/2012,10/22/2011,11/27/2010,,,,,
433,Mississippi,911,11/9/2013,9/28/2013,10/27/2012,10/15/2011,10/16/2010,,,,,
430,Mississippi State,911,10/24/2013,10/5/2013,10/6/2012,10/29/2011,11/13/2010,11/14/2009,,,,
434,Missouri,25354,11/23/2013,9/21/2013,10/27/2012,10/8/2011,10/9/2010,10/8/2009,,,,
463,Nebraska,25354,10/26/2013,10/5/2013,10/20/2012,10/22/2011,10/7/2010,10/8/2009,,,,
457,North Carolina,821,10/17/2013,9/21/2013,11/10/2012,11/17/2011,9/18/2010,10/22/2009,,,,
490,North Carolina State,821,10/26/2013,9/19/2013,10/20/2012,10/22/2011,10/28/2010,10/31/2009,,,,
509,Northwestern,827,11/16/2013,10/5/2013,11/10/2012,10/1/2011,10/23/2010,,,,,
513,Notre Dame,99001,11/23/2013,10/19/2013,10/6/2012,10/22/2011,11/13/2010,10/17/2009,,,,
518,Ohio State,827,11/16/2013,10/19/2013,11/17/2012,10/29/2011,11/13/2010,,,,,
522,Oklahoma,25354,12/7/2013,11/7/2013,9/28/2013,10/6/2012,9/22/2012,11/19/2011,9/17/2011,10/16/2010,10/3/2009,
521,Oklahoma State,25354,12/7/2013,10/19/2013,9/28/2013,10/13/2012,9/29/2012,12/3/2011,10/8/2011,9/30/2010,10/10/2009,
529,Oregon,905,11/7/2013,9/28/2013,10/18/2012,10/6/2011,11/26/2010,10/21/2010,12/3/2009,10/24/2009,,
528,Oregon State,905,11/16/2013,10/12/2013,9/22/2012,9/24/2011,10/30/2010,9/18/2010,12/3/2009,10/24/2009,,
539,Penn State,827,10/26/2013,10/5/2013,10/20/2012,11/12/2011,10/23/2010,,,,,
545,Pittsburgh,823,10/12/2013,9/14/2013,11/24/2012,10/5/2012,11/25/2011,10/26/2011,11/11/2010,9/23/2010,11/27/2009,11/7/2009
559,Purdue,827,11/2/2013,10/12/2013,9/29/2012,10/1/2011,10/9/2010,,,,,
587,Rutgers,823,11/16/2013,10/26/2013,10/5/2013,11/10/2012,10/6/2012,9/24/2011,11/3/2010,9/25/2010,11/12/2009,
648,South Carolina,911,11/16/2013,9/28/2013,11/10/2012,10/29/2011,10/9/2010,11/28/2009,,,,
674,Stanford,905,11/7/2013,9/27/2012,10/1/2011,10/23/2010,11/7/2009,,,,,
688,Syracuse,823,11/2/2013,10/5/2013,10/5/2012,11/26/2011,10/21/2011,10/9/2010,10/24/2009,,,
698,TCU,5486,11/30/2013,9/28/2013,11/22/2012,12/3/2011,10/22/2011,11/27/2010,,,,
694,Tennessee,911,11/23/2013,10/19/2013,10/13/2012,10/1/2011,10/23/2010,10/24/2009,,,,
703,Texas,25354,11/28/2013,10/26/2013,10/3/2013,11/22/2012,9/29/2012,10/29/2011,10/1/2011,10/16/2010,10/10/2009,
697,Texas A&M,25354,11/23/2013,10/12/2013,9/17/2011,9/30/2010,9/19/2009,,,,,
700,Texas Tech,25354,11/28/2013,10/5/2013,9/29/2012,9/17/2011,10/2/2010,11/14/2009,,,,
110,UCLA,905,10/3/2013,9/14/2013,10/27/2012,10/20/2011,11/18/2010,10/21/2010,10/3/2009,,,
657,USC,905,10/10/2013,10/4/2012,10/13/2011,10/30/2010,11/28/2009,10/17/2009,,,,
732,Utah,5486,11/9/2013,10/3/2013,10/4/2012,10/1/2011,10/9/2010,10/10/2009,,,,
736,Vanderbilt,911,11/9/2013,10/19/2013,10/6/2012,10/8/2011,10/2/2010,,,,,
746,Virginia,821,11/23/2013,11/3/2012,10/15/2011,10/3/2009,,,,,,
742,Virginia Tech,821,11/30/2013,10/26/2013,11/1/2012,11/10/2011,11/4/2010,10/29/2009,,,,
749,Wake Forest,821,11/23/2013,10/19/2013,10/20/2012,10/1/2011,10/30/2010,11/28/2009,,,,
756,Washington,905,11/9/2013,9/14/2013,9/27/2012,10/15/2011,11/18/2010,10/2/2010,11/28/2009,11/7/2009,,
754,Washington State,905,11/16/2013,10/31/2013,10/27/2012,10/1/2011,12/4/2010,10/24/2009,,,,
768,West Virginia,823,11/30/2013,10/19/2013,11/3/2012,9/15/2012,11/25/2011,10/21/2011,11/13/2010,10/9/2010,11/27/2009,10/1/2009
796,Wisconsin,827,11/2/2013,10/12/2013,11/10/2012,10/15/2011,11/6/2010,12/5/2009,10/31/2009,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
